xaxis	yaxis	Freq	Prop
B memory	CD8 TCM	0	0
B naive	CD8 TCM	0	0
CD14 Mono	CD8 TCM	0	0
CD16 Mono	CD8 TCM	0	0
CD4 CTL	CD8 TCM	1	0.0714285714285714
CD4 Naive	CD8 TCM	0	0
CD4 TCM	CD8 TCM	3	0.0115830115830116
CD4 TEM	CD8 TCM	0	0
CD8 Naive	CD8 TCM	0	0
CD8 TCM	CD8 TCM	2	0.5
CD8 TEM	CD8 TCM	28	0.133333333333333
MAIT	CD8 TCM	0	0
NK	CD8 TCM	7	0.053030303030303
Platelet	CD8 TCM	0	0
Treg	CD8 TCM	0	0
cDC1	CD8 TCM	0	0
cDC2	CD8 TCM	0	0
dnT	CD8 TCM	0	0
gdT	CD8 TCM	0	0
pDC	CD8 TCM	0	0
B intermediate	CD8 TEM	1	0.0714285714285714
B memory	CD8 TEM	1	0.0256410256410256
B naive	CD8 TEM	0	0
CD14 Mono	CD8 TEM	26	0.40625
CD16 Mono	CD8 TEM	3	0.107142857142857
CD4 CTL	CD8 TEM	0	0
CD4 Naive	CD8 TEM	0	0
CD4 TCM	CD8 TEM	0	0
CD4 TEM	CD8 TEM	0	0
CD8 Naive	CD8 TEM	0	0
CD8 TCM	CD8 TEM	0	0
CD8 TEM	CD8 TEM	68	0.323809523809524
MAIT	CD8 TEM	1	0.0909090909090909
NK	CD8 TEM	0	0
Platelet	CD8 TEM	0	0
Treg	CD8 TEM	0	0
cDC1	CD8 TEM	0	0
cDC2	CD8 TEM	0	0
dnT	CD8 TEM	0	0
gdT	CD8 TEM	0	0
pDC	CD8 TEM	0	0
B intermediate	MAIT	0	0
B memory	MAIT	0	0
B naive	MAIT	0	0
CD14 Mono	MAIT	0	0
CD16 Mono	MAIT	0	0
CD4 CTL	MAIT	0	0
CD4 Naive	MAIT	0	0
CD4 TCM	MAIT	0	0
CD4 TEM	MAIT	0	0
CD8 Naive	MAIT	0	0
CD8 TCM	MAIT	0	0
CD8 TEM	MAIT	0	0
MAIT	MAIT	9	0.818181818181818
NK	MAIT	0	0
Platelet	MAIT	0	0
Treg	MAIT	0	0
cDC1	MAIT	0	0
cDC2	MAIT	0	0
dnT	MAIT	0	0
gdT	MAIT	0	0
pDC	MAIT	0	0
B intermediate	NK	0	0
B memory	NK	0	0
B naive	NK	0	0
CD14 Mono	NK	1	0.015625
CD16 Mono	NK	6	0.214285714285714
CD4 CTL	NK	0	0
CD4 Naive	NK	0	0
CD4 TCM	NK	0	0
CD4 TEM	NK	0	0
CD8 Naive	NK	0	0
CD8 TCM	NK	0	0
CD8 TEM	NK	2	0.00952380952380952
MAIT	NK	0	0
NK	NK	63	0.477272727272727
Platelet	NK	0	0
Treg	NK	0	0
cDC1	NK	0	0
cDC2	NK	0	0
dnT	NK	0	0
gdT	NK	0	0
pDC	NK	0	0
B intermediate	Platelet	0	0
B memory	Platelet	0	0
B naive	Platelet	0	0
CD14 Mono	Platelet	0	0
CD16 Mono	Platelet	0	0
CD4 CTL	Platelet	0	0
CD4 Naive	Platelet	0	0
CD4 TCM	Platelet	0	0
CD4 TEM	Platelet	0	0
CD8 Naive	Platelet	0	0
CD8 TCM	Platelet	0	0
